"No.","Time","Source","Destination","Protocol","Length","Flow Duration","Flow_Byts/s","Tot_Fwd_Pkts","Tot_Bwd_Pkts","Fwd_Pkt_Len_Max","Bwd_Pkt_Len_Max","Fwd_IAT_Mean","Bwd_IAT_Mean","SYN_Flag_Cnt","RST_Flag_Cnt","ACK_Flag_Cnt","Flow_Pkts/s","Info"
"1","0.000000","52.168.117.173","192.168.207.242","TCP","66","0.000000000","1","1","0,52","","1","0.000000","0.000000","False","Not set","Set","","443  >  49736 [ACK] Seq=1 Ack=1 Win=16386 Len=0 TSval=3341205941 TSecr=101408"
"2","0.003664","52.168.117.173","192.168.207.242","TCP","66","0.003664000","2","2","0,52","","2","0.003664","0.003664","False","Not set","Set","","443  >  49736 [ACK] Seq=1 Ack=2613 Win=16386 Len=0 TSval=3341205946 TSecr=101408"
"3","0.003664","52.168.117.173","192.168.207.242","TCP","66","0.000000000","3","3","0,52","","3","0.003664","0.003664","False","Not set","Set","","443  >  49736 [ACK] Seq=1 Ack=5225 Win=16386 Len=0 TSval=3341205946 TSecr=101408"
"4","0.003752","52.168.117.173","192.168.207.242","TCP","66","0.000088000","4","4","0,52","","4","0.003752","0.003752","False","Not set","Set","","443  >  49736 [ACK] Seq=1 Ack=7836 Win=16386 Len=0 TSval=3341205946 TSecr=101408"
"5","0.538139","72.25.64.16","192.168.207.242","TCP","1274","0.534387000","5","5","1220,1260","1220","5","0.538139","0.538139","False","Not set","Set","","443  >  49794 [PSH, ACK] Seq=1 Ack=1 Win=511 Len=1220 [TCP PDU reassembled in 7]"
"6","0.538139","72.25.64.16","192.168.207.242","TCP","1274","0.000000000","6","6","1220,1260","2440","6","0.538139","0.538139","False","Not set","Set","","443  >  49794 [PSH, ACK] Seq=1221 Ack=1 Win=511 Len=1220 [TCP PDU reassembled in 7]"
"7","0.538139","72.25.64.16","192.168.207.242","TLSv1.2","953","0.000000000","7","7","899,939","3339","7","0.538139","0.538139","False","Not set","Set","","Server Hello, Certificate"
"8","0.538139","72.25.64.16","192.168.207.242","TLSv1.2","396","0.000000000","8","8","342,382","3681","8","0.538139","0.538139","False","Not set","Set","","Server Key Exchange, Server Hello Done"
"9","0.538345","192.168.207.242","72.25.64.16","TCP","54","0.000206000","9","9","0,40","","9","0.538345","0.538345","False","Not set","Set","","49794  >  443 [ACK] Seq=1 Ack=3682 Win=255 Len=0"
"10","0.541163","192.168.207.242","72.25.64.16","TLSv1.2","236","0.002818000","10","10","182,222","182","10","0.541163","0.541163","False","Not set","Set","","Client Key Exchange, Change Cipher Spec, Encrypted Handshake Message"
