"No.","Time","Source","Destination","Protocol","Length","Flow Duration","Flow_Byts/s","Tot_Fwd_Pkts","Tot_Bwd_Pkts","Fwd_Pkt_Len_Max","Bwd_Pkt_Len_Max","Fwd_IAT_Mean","Bwd_IAT_Mean","SYN_Flag_Cnt","RST_Flag_Cnt","ACK_Flag_Cnt","Flow_Pkts/s","Info"
"1","0.000000","2401:4900:1cba:2ef3:98a1:5ab1:eda2:bdf5","2404:6800:4007:824::200a","TLSv1.2","98","0.000000000","1","1","24","24","1","0.000000","0.000000","False","Not set","Set","","Application Data"
"2","0.000168","2401:4900:1cba:2ef3:98a1:5ab1:eda2:bdf5","2404:6800:4007:824::200a","TCP","74","0.000168000","2","2","0","","2","0.000168","0.000168","False","Not set","Set","","49758  >  443 [FIN, ACK] Seq=25 Ack=1 Win=250 Len=0"
"3","0.005459","2401:4900:1cba:2ef3:98a1:5ab1:eda2:bdf5","2404:6800:4007:824::200a","TCP","1486","0.005291000","3","3","1412","1412","3","0.005459","0.005459","False","Not set","Set","","49757  >  443 [ACK] Seq=1 Ack=1 Win=252 Len=1412 [TCP PDU reassembled in 20]"
"4","0.005459","2401:4900:1cba:2ef3:98a1:5ab1:eda2:bdf5","2404:6800:4007:824::200a","TCP","1486","0.000000000","4","4","1412","2824","4","0.005459","0.005459","False","Not set","Set","","49757  >  443 [ACK] Seq=1413 Ack=1 Win=252 Len=1412 [TCP PDU reassembled in 20]"
"5","0.005459","2401:4900:1cba:2ef3:98a1:5ab1:eda2:bdf5","2404:6800:4007:824::200a","TCP","1486","0.000000000","5","5","1412","4236","5","0.005459","0.005459","False","Not set","Set","","49757  >  443 [ACK] Seq=2825 Ack=1 Win=252 Len=1412 [TCP PDU reassembled in 20]"
"6","0.005459","2401:4900:1cba:2ef3:98a1:5ab1:eda2:bdf5","2404:6800:4007:824::200a","TCP","1486","0.000000000","6","6","1412","5648","6","0.005459","0.005459","False","Not set","Set","","49757  >  443 [ACK] Seq=4237 Ack=1 Win=252 Len=1412 [TCP PDU reassembled in 20]"
"7","0.005459","2401:4900:1cba:2ef3:98a1:5ab1:eda2:bdf5","2404:6800:4007:824::200a","TCP","1486","0.000000000","7","7","1412","7060","7","0.005459","0.005459","False","Not set","Set","","49757  >  443 [ACK] Seq=5649 Ack=1 Win=252 Len=1412 [TCP PDU reassembled in 20]"
"8","0.005459","2401:4900:1cba:2ef3:98a1:5ab1:eda2:bdf5","2404:6800:4007:824::200a","TCP","1486","0.000000000","8","8","1412","8472","8","0.005459","0.005459","False","Not set","Set","","49757  >  443 [ACK] Seq=7061 Ack=1 Win=252 Len=1412 [TCP PDU reassembled in 20]"
"9","0.005459","2401:4900:1cba:2ef3:98a1:5ab1:eda2:bdf5","2404:6800:4007:824::200a","TCP","1486","0.000000000","9","9","1412","9884","9","0.005459","0.005459","False","Not set","Set","","49757  >  443 [ACK] Seq=8473 Ack=1 Win=252 Len=1412 [TCP PDU reassembled in 20]"
"10","0.005459","2401:4900:1cba:2ef3:98a1:5ab1:eda2:bdf5","2404:6800:4007:824::200a","TCP","1486","0.000000000","10","10","1412","11296","10","0.005459","0.005459","False","Not set","Set","","49757  >  443 [ACK] Seq=9885 Ack=1 Win=252 Len=1412 [TCP PDU reassembled in 20]"
"11","0.005459","2401:4900:1cba:2ef3:98a1:5ab1:eda2:bdf5","2404:6800:4007:824::200a","TCP","1486","0.000000000","11","11","1412","12708","11","0.005459","0.005459","False","Not set","Set","","49757  >  443 [ACK] Seq=11297 Ack=1 Win=252 Len=1412 [TCP PDU reassembled in 20]"
"12","0.005459","2401:4900:1cba:2ef3:98a1:5ab1:eda2:bdf5","2404:6800:4007:824::200a","TCP","1486","0.000000000","12","12","1412","14120","12","0.005459","0.005459","False","Not set","Set","","49757  >  443 [ACK] Seq=12709 Ack=1 Win=252 Len=1412 [TCP PDU reassembled in 20]"
"13","0.005459","2401:4900:1cba:2ef3:98a1:5ab1:eda2:bdf5","2404:6800:4007:824::200a","TCP","1486","0.000000000","13","13","1412","15532","13","0.005459","0.005459","False","Not set","Set","","49757  >  443 [ACK] Seq=14121 Ack=1 Win=252 Len=1412 [TCP PDU reassembled in 20]"
"14","0.006628","2401:4900:1cba:2ef3:98a1:5ab1:eda2:bdf5","2404:6800:4007:824::200a","TCP","86","0.001169000","14","14","0","","14","0.006628","0.006628","True","Not set","Not set","","49914  >  443 [SYN] Seq=0 Win=65535 Len=0 MSS=1440 WS=256 SACK_PERM"
"15","0.032396","2404:6800:4007:824::200a","2401:4900:1cba:2ef3:98a1:5ab1:eda2:bdf5","TCP","74","0.025768000","15","15","0","","15","0.032396","0.032396","False","Not set","Set","","443  >  49757 [ACK] Seq=1 Ack=4237 Win=1050 Len=0"
"16","0.032396","2404:6800:4007:824::200a","2401:4900:1cba:2ef3:98a1:5ab1:eda2:bdf5","TCP","74","0.000000000","16","16","0","","16","0.032396","0.032396","False","Not set","Set","","443  >  49757 [ACK] Seq=1 Ack=7061 Win=1050 Len=0"
"17","0.032396","2404:6800:4007:824::200a","2401:4900:1cba:2ef3:98a1:5ab1:eda2:bdf5","TCP","74","0.000000000","17","17","0","","17","0.032396","0.032396","False","Not set","Set","","443  >  49758 [ACK] Seq=1 Ack=25 Win=1048 Len=0"
"18","0.032396","2404:6800:4007:824::200a","2401:4900:1cba:2ef3:98a1:5ab1:eda2:bdf5","TCP","74","0.000000000","18","18","0","","18","0.032396","0.032396","False","Not set","Set","","443  >  49758 [FIN, ACK] Seq=1 Ack=26 Win=1048 Len=0"
"19","0.032538","2401:4900:1cba:2ef3:98a1:5ab1:eda2:bdf5","2404:6800:4007:824::200a","TCP","74","0.000142000","19","19","0","","19","0.032538","0.032538","False","Not set","Set","","49758  >  443 [ACK] Seq=26 Ack=2 Win=250 Len=0"
"20","0.032802","2401:4900:1cba:2ef3:98a1:5ab1:eda2:bdf5","2404:6800:4007:824::200a","TLSv1.2","1486","0.000264000","20","20","1412","9884","20","0.032802","0.032802","False","Not set","Set","","Application Data"
"21","0.032802","2401:4900:1cba:2ef3:98a1:5ab1:eda2:bdf5","2404:6800:4007:824::200a","TCP","1486","0.000000000","21","21","1412","11296","21","0.032802","0.032802","False","Not set","Set","","49757  >  443 [ACK] Seq=16945 Ack=1 Win=252 Len=1412 [TCP PDU reassembled in 35]"
"22","0.032802","2401:4900:1cba:2ef3:98a1:5ab1:eda2:bdf5","2404:6800:4007:824::200a","TCP","1486","0.000000000","22","22","1412","12708","22","0.032802","0.032802","False","Not set","Set","","49757  >  443 [ACK] Seq=18357 Ack=1 Win=252 Len=1412 [TCP PDU reassembled in 35]"
"23","0.032802","2401:4900:1cba:2ef3:98a1:5ab1:eda2:bdf5","2404:6800:4007:824::200a","TCP","1486","0.000000000","23","23","1412","14120","23","0.032802","0.032802","False","Not set","Set","","49757  >  443 [ACK] Seq=19769 Ack=1 Win=252 Len=1412 [TCP PDU reassembled in 35]"
"24","0.032802","2401:4900:1cba:2ef3:98a1:5ab1:eda2:bdf5","2404:6800:4007:824::200a","TCP","1486","0.000000000","24","24","1412","15532","24","0.032802","0.032802","False","Not set","Set","","49757  >  443 [ACK] Seq=21181 Ack=1 Win=252 Len=1412 [TCP PDU reassembled in 35]"
"25","0.032802","2401:4900:1cba:2ef3:98a1:5ab1:eda2:bdf5","2404:6800:4007:824::200a","TCP","1486","0.000000000","25","25","1412","16944","25","0.032802","0.032802","False","Not set","Set","","49757  >  443 [ACK] Seq=22593 Ack=1 Win=252 Len=1412 [TCP PDU reassembled in 35]"
"26","0.032802","2401:4900:1cba:2ef3:98a1:5ab1:eda2:bdf5","2404:6800:4007:824::200a","TCP","1486","0.000000000","26","26","1412","18356","26","0.032802","0.032802","False","Not set","Set","","49757  >  443 [ACK] Seq=24005 Ack=1 Win=252 Len=1412 [TCP PDU reassembled in 35]"
"27","0.032802","2401:4900:1cba:2ef3:98a1:5ab1:eda2:bdf5","2404:6800:4007:824::200a","TCP","1486","0.000000000","27","27","1412","19768","27","0.032802","0.032802","False","Not set","Set","","49757  >  443 [ACK] Seq=25417 Ack=1 Win=252 Len=1412 [TCP PDU reassembled in 35]"
"28","0.032802","2401:4900:1cba:2ef3:98a1:5ab1:eda2:bdf5","2404:6800:4007:824::200a","TCP","1486","0.000000000","28","28","1412","21180","28","0.032802","0.032802","False","Not set","Set","","49757  >  443 [ACK] Seq=26829 Ack=1 Win=252 Len=1412 [TCP PDU reassembled in 35]"
"29","0.032802","2401:4900:1cba:2ef3:98a1:5ab1:eda2:bdf5","2404:6800:4007:824::200a","TCP","1486","0.000000000","29","29","1412","22592","29","0.032802","0.032802","False","Not set","Set","","49757  >  443 [ACK] Seq=28241 Ack=1 Win=252 Len=1412 [TCP PDU reassembled in 35]"
"30","0.032980","2404:6800:4007:824::200a","2401:4900:1cba:2ef3:98a1:5ab1:eda2:bdf5","TCP","74","0.000178000","30","30","0","","30","0.032980","0.032980","False","Not set","Set","","443  >  49757 [ACK] Seq=1 Ack=9885 Win=1050 Len=0"
"31","0.032980","2404:6800:4007:824::200a","2401:4900:1cba:2ef3:98a1:5ab1:eda2:bdf5","TCP","74","0.000000000","31","31","0","","31","0.032980","0.032980","False","Not set","Set","","443  >  49757 [ACK] Seq=1 Ack=14121 Win=1050 Len=0"
"32","0.032980","2404:6800:4007:824::200a","2401:4900:1cba:2ef3:98a1:5ab1:eda2:bdf5","TCP","74","0.000000000","32","32","0","","32","0.032980","0.032980","False","Not set","Set","","443  >  49757 [ACK] Seq=1 Ack=15533 Win=1050 Len=0"
"33","0.033038","2401:4900:1cba:2ef3:98a1:5ab1:eda2:bdf5","2404:6800:4007:824::200a","TCP","1486","0.000058000","33","33","1412","15532","33","0.033038","0.033038","False","Not set","Set","","49757  >  443 [ACK] Seq=29653 Ack=1 Win=252 Len=1412 [TCP PDU reassembled in 35]"
"34","0.033038","2401:4900:1cba:2ef3:98a1:5ab1:eda2:bdf5","2404:6800:4007:824::200a","TCP","1486","0.000000000","34","34","1412","16944","34","0.033038","0.033038","False","Not set","Set","","49757  >  443 [ACK] Seq=31065 Ack=1 Win=252 Len=1412 [TCP PDU reassembled in 35]"
"35","0.033038","2401:4900:1cba:2ef3:98a1:5ab1:eda2:bdf5","2404:6800:4007:824::200a","TLSv1.2","1486","0.000000000","35","35","1412","18356","35","0.033038","0.033038","False","Not set","Set","","Application Data"
"36","0.033038","2401:4900:1cba:2ef3:98a1:5ab1:eda2:bdf5","2404:6800:4007:824::200a","TCP","1486","0.000000000","36","36","1412","19768","36","0.033038","0.033038","False","Not set","Set","","49757  >  443 [ACK] Seq=33889 Ack=1 Win=252 Len=1412 [TCP PDU reassembled in 52]"
"37","0.033038","2401:4900:1cba:2ef3:98a1:5ab1:eda2:bdf5","2404:6800:4007:824::200a","TCP","1486","0.000000000","37","37","1412","21180","37","0.033038","0.033038","False","Not set","Set","","49757  >  443 [ACK] Seq=35301 Ack=1 Win=252 Len=1412 [TCP PDU reassembled in 52]"
"38","0.033038","2401:4900:1cba:2ef3:98a1:5ab1:eda2:bdf5","2404:6800:4007:824::200a","TCP","1486","0.000000000","38","38","1412","22592","38","0.033038","0.033038","False","Not set","Set","","49757  >  443 [ACK] Seq=36713 Ack=1 Win=252 Len=1412 [TCP PDU reassembled in 52]"
"39","0.033038","2401:4900:1cba:2ef3:98a1:5ab1:eda2:bdf5","2404:6800:4007:824::200a","TCP","1486","0.000000000","39","39","1412","24004","39","0.033038","0.033038","False","Not set","Set","","49757  >  443 [ACK] Seq=38125 Ack=1 Win=252 Len=1412 [TCP PDU reassembled in 52]"
"40","0.033038","2401:4900:1cba:2ef3:98a1:5ab1:eda2:bdf5","2404:6800:4007:824::200a","TCP","1486","0.000000000","40","40","1412","25416","40","0.033038","0.033038","False","Not set","Set","","49757  >  443 [ACK] Seq=39537 Ack=1 Win=252 Len=1412 [TCP PDU reassembled in 52]"
"41","0.033038","2401:4900:1cba:2ef3:98a1:5ab1:eda2:bdf5","2404:6800:4007:824::200a","TCP","1486","0.000000000","41","41","1412","26828","41","0.033038","0.033038","False","Not set","Set","","49757  >  443 [ACK] Seq=40949 Ack=1 Win=252 Len=1412 [TCP PDU reassembled in 52]"
"42","0.033038","2401:4900:1cba:2ef3:98a1:5ab1:eda2:bdf5","2404:6800:4007:824::200a","TCP","1486","0.000000000","42","42","1412","28240","42","0.033038","0.033038","False","Not set","Set","","49757  >  443 [ACK] Seq=42361 Ack=1 Win=252 Len=1412 [TCP PDU reassembled in 52]"
"43","0.033038","2401:4900:1cba:2ef3:98a1:5ab1:eda2:bdf5","2404:6800:4007:824::200a","TCP","1486","0.000000000","43","43","1412","29652","43","0.033038","0.033038","False","Not set","Set","","49757  >  443 [ACK] Seq=43773 Ack=1 Win=252 Len=1412 [TCP PDU reassembled in 52]"
"44","0.033038","2401:4900:1cba:2ef3:98a1:5ab1:eda2:bdf5","2404:6800:4007:824::200a","TCP","1486","0.000000000","44","44","1412","31064","44","0.033038","0.033038","False","Not set","Set","","49757  >  443 [ACK] Seq=45185 Ack=1 Win=252 Len=1412 [TCP PDU reassembled in 52]"
