No.,Time,Source,Destination,Protocol,Length,Flow Duration,Flow_Byts/s,Tot_Fwd_Pkts,Tot_Bwd_Pkts,Fwd_Pkt_Len_Max,Bwd_Pkt_Len_Max,Fwd_IAT_Mean,Bwd_IAT_Mean,SYN_Flag_Cnt,RST_Flag_Cnt,ACK_Flag_Cnt,Flow_Pkts/s,Info,Label
1,0,ServercomPri_11:e3:e0,AzureWaveTec_63:e5:cd,ARP,42,0,1,1,0,0,1,0,0,0,0,0,0,Who has 192.168.1.5? Tell 192.168.1.1,Normal
2,0.00003,AzureWaveTec_63:e5:cd,ServercomPri_11:e3:e0,ARP,42,0.00003,2,2,0,0,2,0.00003,0.00003,0,0,0,0,192.168.1.5 is at b4:8c:9d:63:e5:cd,Normal
3,1.221957,192.168.1.5,52.138.229.66,TLSv1.2,925,1.221927,3,3,0,871,3,1.221957,1.221957,0,0,1,0,Application Data,Normal
4,1.222244,192.168.1.5,52.138.229.66,TCP,1486,0.000287,4,4,0,2303,4,1.222244,1.222244,0,0,1,0,50905  >  443 [ACK] Seq=872 Ack=1 Win=1021 Len=1432 [TCP PDU reassembled in 7],Normal
5,1.222244,192.168.1.5,52.138.229.66,TCP,1486,0,5,5,0,3735,5,1.222244,1.222244,0,0,1,0,50905  >  443 [ACK] Seq=2304 Ack=1 Win=1021 Len=1432 [TCP PDU reassembled in 7],Normal
6,1.222244,192.168.1.5,52.138.229.66,TCP,1486,0,6,6,0,5167,6,1.222244,1.222244,0,0,1,0,50905  >  443 [ACK] Seq=3736 Ack=1 Win=1021 Len=1432 [TCP PDU reassembled in 7],Normal
7,1.222244,192.168.1.5,52.138.229.66,TLSv1.2,593,0,7,7,0,5706,7,1.222244,1.222244,0,0,1,0,Application Data,Normal
8,1.391001,52.138.229.66,192.168.1.5,TCP,54,0.168757,8,8,0,0,8,1.391001,1.391001,0,0,1,0,443  >  50905 [ACK] Seq=1 Ack=2304 Win=16384 Len=0,Normal
9,1.391001,52.138.229.66,192.168.1.5,TCP,54,0,9,9,0,0,9,1.391001,1.391001,0,0,1,0,443  >  50905 [ACK] Seq=1 Ack=5707 Win=16384 Len=0,Normal
10,1.406072,52.138.229.66,192.168.1.5,TLSv1.2,500,0.015071,10,10,0,446,10,1.406072,1.406072,0,0,1,0,Application Data,Normal
11,1.407157,192.168.1.5,52.138.229.66,TCP,54,0.001085,11,11,0,0,11,1.407157,1.407157,0,0,1,0,50905  >  443 [ACK] Seq=5707 Ack=447 Win=1019 Len=0,Normal
12,2.86708,192.168.1.5,192.168.1.3,TCP,164,1.459923,12,12,0,110,12,2.86708,2.86708,0,0,1,0,"50814  >  8009 [PSH, ACK] Seq=1 Ack=1 Win=512 Len=110 [TCP PDU reassembled in 253]",Normal
13,2.937344,192.168.1.3,192.168.1.5,TCP,164,0.070264,13,13,0,110,13,2.937344,2.937344,0,0,1,0,"8009  >  50814 [PSH, ACK] Seq=1 Ack=111 Win=1253 Len=110 [TCP PDU reassembled in 254]",Normal
14,2.981893,192.168.1.5,192.168.1.3,TCP,54,0.044549,14,14,0,0,14,2.981893,2.981893,0,0,1,0,50814  >  8009 [ACK] Seq=111 Ack=111 Win=511 Len=0,Normal
15,4.261545,2404:6800:4007:823::200a,2401:4900:1cb9:75b4:6d0b:ad4e:1327:c92f,TLSv1.2,168,1.279652,15,15,94,94,15,4.261545,4.261545,0,0,1,0,Application Data,Normal
16,4.309616,2401:4900:1cb9:75b4:6d0b:ad4e:1327:c92f,2404:6800:4007:823::200a,TCP,74,0.048071,16,16,0,0,16,4.309616,4.309616,0,0,1,0,50910  >  443 [ACK] Seq=1 Ack=95 Win=516 Len=0,Normal
17,4.850709,192.168.1.5,140.82.112.25,TCP,55,0.541093,17,17,0,1,17,4.850709,4.850709,0,0,1,0,50847  >  443 [ACK] Seq=1 Ack=1 Win=514 Len=1 [TCP PDU reassembled in 144],Normal
18,4.866283,2600:1417:73::170b:d75a,2401:4900:1cb9:75b4:6d0b:ad4e:1327:c92f,TLSv1.2,98,0.015574,18,18,24,24,18,4.866283,4.866283,0,0,1,0,Application Data,Normal
19,4.866283,2600:1417:73::170b:d75a,2401:4900:1cb9:75b4:6d0b:ad4e:1327:c92f,TCP,74,0,19,19,0,0,19,4.866283,4.866283,0,0,1,0,"443  >  50926 [FIN, ACK] Seq=25 Ack=1 Win=506 Len=0",Normal
20,4.866283,2600:1417:73::170b:d75a,2401:4900:1cb9:75b4:6d0b:ad4e:1327:c92f,TLSv1.2,98,0,20,20,24,24,20,4.866283,4.866283,0,0,1,0,Application Data,Normal
21,4.866283,2600:1417:73::170b:d75a,2401:4900:1cb9:75b4:6d0b:ad4e:1327:c92f,TCP,74,0,21,21,0,0,21,4.866283,4.866283,0,0,1,0,"443  >  50927 [FIN, ACK] Seq=25 Ack=1 Win=506 Len=0",Normal
22,4.866283,2600:1417:73::170b:d75a,2401:4900:1cb9:75b4:6d0b:ad4e:1327:c92f,TLSv1.2,98,0,22,22,24,24,22,4.866283,4.866283,0,0,1,0,Application Data,Normal
